,Title,Type,Rating score,Rating Count,Enrollments,Level
113,AutoML for Computer Vision with Microsoft Custom Vision,GUIDED PROJECT,4.7,92,2.9k,Beginner
114,Seeking Investment Alpha,GUIDED PROJECT,4.8,36,2.4k,Intermediate
117,Analyzing Market Attractiveness Using Creately,GUIDED PROJECT,4.8,42,1.8k,Beginner
118,Control physics with C# in Unity,GUIDED PROJECT,4.8,54,2k,Beginner
122,Support Vector Machine Classification in Python,GUIDED PROJECT,4.4,119,4.4k,Intermediate
123,Build a Deep Learning Based Image Classifier with R,GUIDED PROJECT,4.6,153,5.3k,Intermediate
124,Manipulate Object Properties with C# in Unity,GUIDED PROJECT,4.9,32,2.2k,Beginner
135,Business Strategy in Practice (Project-centered Course),COURSE,4.6,132,6k,Mixed
136,Applied Data Science,SPECIALIZATION,4.6,25484,290k,Beginner
138,Reinforcement Learning in Finance,COURSE,3.6,96,13k,Advanced
139,Guided Tour of Machine Learning in Finance,COURSE,3.8,540,22k,Intermediate
140,Introduction to Probability and Data with R,COURSE,4.7,4369,190k,Beginner
141,Hadoop Platform and Application Framework,COURSE,3.9,3091,130k,Mixed
142,Inferential Statistics,COURSE,4.8,1890,76k,Beginner
143,Meditation: A way to achieve your goals in your life,COURSE,4.6,570,49k,Beginner
144,Homeland Security & Cybersecurity Connection - It's Not About the Terrorists,COURSE,4.7,257,5.3k,Beginner
145,RPA Lifecycle: Development and Testing,COURSE,4.7,67,2.3k,Beginner
146,Мой друг - робот: введение в социальную робототехнику / My Friend is a Robot: Introduction to Social Robotics,COURSE,4.8,52,2.3k,Beginner
147,RPA Lifecycle: Deployment and Maintenance,COURSE,4.7,44,1.6k,Beginner
149,Training and Learning Programs for Volunteer Community Health Workers,COURSE,4.7,64,3.4k,Beginner
151,Machine Learning with H2O Flow,GUIDED PROJECT,4.7,79,2.5k,Intermediate
153,3D Printing Capstone,COURSE,4.7,17,1.8k,Mixed
154,IBM AI Enterprise Workflow,SPECIALIZATION,4.3,140,5.3k,Advanced
155,Problem Solving with Excel,COURSE,4.7,4476,100k,Beginner
156,Getting started with TensorFlow 2,COURSE,4.9,95,7.4k,Intermediate
157,Customising your models with TensorFlow 2,COURSE,4.9,17,2.8k,Intermediate
160,Game Design Document: Define the Art & Concepts,COURSE,4.6,123,2.2k,Intermediate
161,Initiating and Planning Projects,COURSE,4.7,15011,260k,Mixed
162,Introdução aos Princípios e Práticas da Gestão De Projetos,SPECIALIZATION,4.8,632,6.2k,Beginner
163,Iniciación y Planificación de Proyectos,COURSE,4.6,2904,73k,Mixed
164,Programming in C#: A comprehensive approach to C# Fundamentals,GUIDED PROJECT,4.6,92,2.6k,Beginner
166,Python Tricks and Hacks for Productivity,GUIDED PROJECT,4.1,54,2.1k,Intermediate
167,Create Your First Application with Java Using Networking,GUIDED PROJECT,4.5,24,2.1k,Intermediate
170,Administración de Proyectos Project,COURSE,4.7,185,4.3k,Mixed
171,Gestión de proyectos: las bases del éxito,COURSE,4.7,706,19k,Mixed
173,Orçamento e Cronograma de Projetos,COURSE,4.8,215,1.8k,Beginner
176,Measuring the Success of a Patient Safety or Quality Improvement Project (Patient Safety VI),COURSE,4.6,47,1.6k,Mixed
177,Brand New Brand,COURSE,4.9,697,13k,Intermediate
180,Creating Dashboards and Storytelling with Tableau,COURSE,4.6,727,26k,Beginner
182,Fundamentals of Project Planning and Management,COURSE,4.7,4147,160k,Beginner
183,Script Writing: Write a Pilot Episode for a TV or Web Series (Project-Centered Course),COURSE,4.5,563,67k,Mixed
184,Project Management Project,COURSE,4.8,2063,27k,Mixed
185,The entrepreneur's guide for beginners,COURSE,4.6,65,3.5k,Beginner
186,"Negotiation, Mediation, and Conflict Resolution - Capstone Project",COURSE,4.9,73,4.9k,Intermediate
187,Big Data - Capstone Project,COURSE,4.4,349,8k,Mixed
191,Business English: Capstone Project,COURSE,4.7,66,3.3k,Intermediate
194,Cloud Architecture with Google Cloud,PROFESSIONAL CERTIFICATE,4.7,40420,410k,Intermediate
195,Software Product Management,SPECIALIZATION,4.7,8380,140k,Beginner
196,Agile with Atlassian Jira,COURSE,4.7,2519,58k,Beginner
197,Agile Meets Design Thinking,COURSE,4.7,2185,96k,Beginner
199,Introduction to Software Product Management,COURSE,4.6,5772,78k,Mixed
200,"Innovation Through Design: Think, Make, Break, Repeat",COURSE,4.7,280,16k,Beginner
201,Software Processes and Agile Practices,COURSE,4.7,4172,73k,Mixed
202,Managing an Agile Team,COURSE,4.7,821,36k,Mixed
203,Agile и Scrum в работе над проектами и продуктами,COURSE,4.8,191,15k,Beginner
204,Aspectos básicos de la planificación y la gestión de proyectos,COURSE,4.8,286,19k,Beginner
205,Agile Planning for Software Products,COURSE,4.7,1664,43k,Mixed
206,Software Development Processes and Methodologies,COURSE,4.6,781,27k,Beginner
207,Agile Software Development,COURSE,4.7,1624,32k,Intermediate
208,Requirements Writing,COURSE,4.6,131,6k,Mixed
209,Гибкие методологии разработки высокотехнологичных продуктов,COURSE,4.7,85,3.4k,Intermediate
210,Lean Software Development,COURSE,4.4,164,8.9k,Beginner
211,Princípios de Desenvolvimento Ágil de Software,COURSE,4.6,164,14k,Intermediate
213,Fundamentals of Visualization with Tableau,COURSE,4.5,4308,95k,Beginner
214,Entrepreneurship Strategy: From Ideation to Exit,COURSE,4.8,701,28k,Beginner
215,Introduction to G Suite,COURSE,4.7,1203,17k,Beginner
216,Exploring Renewable Energy Schemes,COURSE,4.8,216,7.5k,Beginner
217,Write Your First Novel,COURSE,4.1,37,30k,Beginner
218,Les Fondamentaux de la Négociation,COURSE,4.8,194,12k,Beginner
219,Social Entrepreneurship,SPECIALIZATION,4.6,228,19k,Beginner
220,Hypothesis-Driven Development,COURSE,4.6,548,27k,Mixed
221,Brand and Product Management,COURSE,4.7,1772,60k,Mixed
222,Client Needs and Software Requirements,COURSE,4.8,2578,46k,Mixed
223,Entrepreneurship 3: Growth Strategies,COURSE,4.8,1210,33k,Beginner
224,Agile Analytics,COURSE,4.7,118,6.1k,Beginner
225,BIM Application for Engineers,COURSE,4.6,243,15k,Intermediate
226,Budgeting essentials and development,COURSE,4.6,119,7.3k,Intermediate
227,Decision-Making and Scenarios,COURSE,4.6,1540,34k,Mixed
228,3D Printing Software,COURSE,4.6,396,30k,Beginner
229,Humanitarian communication : Addressing key challenges,COURSE,4.6,159,8.6k,Intermediate
230,Building a Data Science Team,COURSE,4.5,2953,35k,Mixed
231,Security Operations and Administration,COURSE,4.8,100,1.5k,Beginner
